language1,language2,maths,science,social,group
100,100,100,100,100,g1
100,98,89,100,99,g2
80,75,90,85,100,g3
78,45,65,80,90,g3
45,85,45,45,90,g3
70,70,85,90,45,g2
70,70,85,90,45,g1
45,68,75,80,60,g2
45,68,75,80,60,g3
90,95,98,100,60,g1
100,99,45,75,60,g3
60,45,48,55,45,g3
65,89,65,45,86,g2
89,87,86,75,80,g1
87,85,95,74,90,g2
99,98,97,95,96,g1
97,95,98,97,95,g2
98,94,99,94,97,g3
78,70,92,86,77,g3
100,99,68,98,68,g2
99,90,68,45,95,g2
100,77,95,48,99,g2
90,45,99,65,45,g3
90,45,45,86,89,g3
45,60,89,95,87,g2
45,99,87,97,85,g3
60,60,85,98,98,g
60,98,98,99,95,g2
60,45,95,92,94,g3
60,86,94,45,70,g3
45,80,70,90,74,g3
86,90,94,100,95,g1
80,96,95,60,77,g
90,95,97,65,95,g2
96,97,94,98,94,g1
95,77,86,45,70,g2
97,70,98,48,99,g1
77,70,45,65,90,g2
100,68,48,86,77,g3
98,68,69,95,45,g3
75,95,89,97,45,g2
45,99,76,98,60,g3
96,95,99,99,99,g1
70,89,65,92,60,g2
70,87,78,45,98,g2
68,85,55,90,45,g3
68,98,60,100,86,g2
95,95,78,60,80,g2
99,94,98,95,90,g1
45,70,56,89,96,g3
89,74,88,87,95,g3
87,95,82,99,97,g1
85,97,77,97,77,g2
98,94,90,98,95,g5
95,86,65,78,45,g2
94,98,98,100,90,g1
70,45,47,99,100,g3
100,48,99,86,60,g2
100,59,100,80,65,g2
80,66,93,90,89,g2
78,99,88,96,87,g2
45,45,56,95,99,g3
70,85,88,97,97,g3
70,85,67,77,98,g3
45,75,78,100,78,g3
95,99,91,98,100,g1
90,98,93,95,99,g1
100,45,66,45,100,g2
60,48,78,85,90,g3
65,65,66,70,90,g3
89,86,90,70,45,g3
87,95,99,68,45,g2
99,97,88,68,60,g2
97,98,76,95,60,g2
98,99,65,99,60,g1
98,92,93,95,90,g1
55,45,100,89,45,g3
60,90,85,95,86,g3
98,100,80,99,80,g1
98,60,45,45,90,g3
56,65,90,89,96,g3
88,89,90,87,95,g2
82,87,80,85,97,g2
77,99,80,98,77,g2
90,97,100,95,100,g1
65,98,75,94,98,g2
56,78,55,70,75,g3
47,100,45,74,45,g3
99,99,75,95,85,g2
100,100,74,97,70,g2
93,90,95,94,70,g1
88,90,97,86,68,g3
56,45,94,98,68,g3
88,45,86,45,95,g3
67,60,77,48,99,g3
78,60,98,65,90,g3
81,56,98,86,99,g2
93,98,76,95,76,g2
66,45,91,97,77,g3
99,87,99,95,90,g1
79,67,100,99,98,g2
50,56,66,39,68,g3
39,90,90,54,56,g2
41,40,45,65,88,g3
52,67,45,45,82,g3
63,81,60,87,77,g2
74,93,60,66,90,g2
85,65,60,99,65,g2
96,98,90,55,56,g2
37,59,45,67,47,g3
42,43,86,89,99,g3
93,89,80,90,100,g1
91,97,90,96,93,g1
75,54,96,35,88,g3
86,89,95,90,86,g1
97,86,97,87,88,g1
100,90,77,86,67,g2
69,99,100,56,78,g2
89,88,98,90,81,g1
77,68,75,45,93,g3
95,76,45,78,66,g2
35,70,85,67,35,g3
44,48,66,56,79,g3
40,78,55,63,50,g3
90,69,36,77,39,g3
59,49,39,39,41,g3
95,69,98,99,90,g1
99,48,76,64,90,g2
39,47,56,58,80,g3
54,39,45,56,80,g3
65,79,78,39,100,g2
45,60,40,50,75,g3
87,50,45,39,55,g3
66,40,77,70,45,g3
99,39,71,69,75,g3
55,38,72,46,74,g2
67,80,39,59,95,g3
89,76,90,46,97,g2
76,45,35,38,44,g3
56,70,56,35,46,g3
35,39,55,68,77,g3
90,100,90,99,98,g1
56,35,45,58,77,g2
86,89,79,79,65,g2
56,67,56,69,35,g3
90,59,43,66,78,g2
45,67,35,45,44,g3
76,59,79,40,89,g2
69,49,45,39,35,g3
98,68,77,66,74,g2
87,98,80,90,95,g1
56,88,60,71,97,g2
45,82,78,82,94,g2
58,77,98,39,86,g3
89,90,90,95,98,g1
67,65,71,65,45,g3
88,56,73,54,48,g2
55,47,84,59,59,g3
37,89,75,62,66,g3
88,100,98,89,99,g1
87,93,65,56,45,g2
69,88,49,70,85,g2
78,86,87,67,85,g2
90,88,76,87,75,g2
65,67,43,45,56,g3
76,78,41,76,98,g3
64,81,68,53,45,g3
82,93,76,72,48,g3
73,66,65,73,65,g3
87,89,78,91,86,g2
39,79,72,43,95,g3
78,50,64,54,97,g2
46,39,67,83,68,g3
20,41,76,54,56,g3
56,90,99,38,92,g2
46,90,55,70,45,g3
37,80,66,55,78,g3
99,80,87,90,100,g1
41,60,82,76,60,g2
39,75,74,85,65,g2
49,55,54,43,89,g3
71,45,35,65,87,g3
64,75,76,78,99,g2
67,74,76,67,97,g2
89,95,90,98,98,g1
69,97,78,78,78,g2
46,44,91,90,76,g3
89,98,54,56,70,g2
90,89,76,87,100,g1
100,90,53,56,90,g2
57,78,89,90,90,g2
89,65,57,65,45,g3
67,78,45,83,45,g3
89,76,49,56,60,g2
67,68,88,78,60,g2
90,45,48,56,56,g3
72,89,87,45,98,g3
60,66,77,40,45,g3
89,89,89,90,87,g1
